Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Aidan Corr,1,6,6,6.0,0.0,0.0,1.0,0,0,0,0,0
Bailey Scott,1,23,23,23.0,0.0,0.0,1.0,100,100,0,0,0
Blake Drury,4,13,3,7.25,0.0,0.5,0.5,0,0,0,0,0
Callum Coleman-Jones,1,6,6,6.0,0.0,0.0,2.0,0,0,0,0,0
Cameron Zurhaar,1,17,17,17.0,1.0,1.0,3.0,100,0,0,100,0
Charlie Comben,7,13,1,7.86,0.57,1.14,1.0,0,0,0,43,14
Charlie Lazzaro,1,13,13,13.0,0.0,0.0,0.0,0,0,0,0,0
Colby McKercher,1,22,22,22.0,0.0,0.0,0.0,100,100,0,0,0
Cooper Harvey,3,13,5,9.33,0.33,0.0,0.33,0,0,0,33,0
Curtis Taylor,16,18,8,13.3,0.3,0.2,0.9,40,0,0,30,0
Darcy Tucker,1,11,11,11.0,0.0,0.0,0.0,0,0,0,0,0
Dylan Stephens,1,14,14,14.0,0.0,0.0,2.0,0,0,0,0,0
Eddie Ford,1,10,10,10.0,1.0,0.0,0.0,0,0,0,100,0
George Wardlaw,1,17,17,17.0,0.0,0.0,1.0,100,0,0,0,0
Griffin Logue,15,17,1,11.8,0.1,0.1,0.4,30,0,0,10,0
Harry Sheezel,1,32,32,32.0,0.0,0.0,2.0,100,100,100,0,0
Hugh Greenwood,14,25,7,15.1,0.3,0.3,0.5,50,30,10,20,10
Jackson Archer,5,11,4,8.4,0.0,0.0,1.2,0,0,0,0,0
Jaidyn Stephenson,1,10,10,10.0,2.0,0.0,0.0,0,0,0,100,100
Josh Goater,1,10,10,10.0,0.0,0.0,1.0,0,0,0,0,0
Jy Simpkin,18,29,3,18.9,0.5,0.4,0.5,80,60,20,50,0
Kallan Dawson,1,15,15,15.0,0.0,0.0,0.0,100,0,0,0,0
Liam Shiels,1,4,4,4.0,1.0,0.0,0.0,0,0,0,100,0
Luke Davies-Uniacke,1,29,29,29.0,0.0,0.0,1.0,100,100,100,0,0
Luke McDonald,22,25,3,15.2,0.0,0.0,0.7,50,30,20,0,0
Miller Bergman,12,18,4,11.5,0.0,0.0,0.5,20,0,0,0,0
Nick Larkey,1,9,9,9.0,3.0,1.0,3.0,0,0,0,100,100
Paul Curtis,1,9,9,9.0,2.0,1.0,0.0,0,0,0,100,100
Tarryn Thomas,12,25,10,19.9,0.7,0.4,0.8,70,70,10,30,30
Toby Pink,1,10,10,10.0,0.0,0.0,0.0,0,0,0,0,0
Tom Powell,1,26,26,26.0,0.0,0.0,0.0,100,100,100,0,0
Tristan Xerri,1,18,18,18.0,1.0,0.0,4.0,100,0,0,100,0
Will Phillips,16,29,16,20.8,0.1,0.1,0.6,100,50,30,10,0
Zac Fisher,1,21,21,21.0,0.0,0.0,0.0,100,100,0,0,0
Zane Duursma,1,10,10,10.0,2.0,1.0,1.0,0,0,0,100,100
