Player,Total Games Played,Highest Dis.,Lowest Dis.,Disposals,Goals,Behinds,Frees For,15 Dis. %,20 Dis. %,25 Dis. %,1 Goal %,2 Goals %
Bailey Macdonald,2,15,10,12.5,0.0,0.0,0.5,50,0,0,0,0
Blake Hardwick,1,13,13,13.0,0.0,0.0,0.0,0,0,0,0,0
Cam Mackenzie,1,14,14,14.0,0.0,0.0,1.0,0,0,0,0,0
Chad Wingard,14,26,0,17.4,1.0,0.6,1.0,80,40,40,40,40
Changkuoth Jiath,8,21,11,15.8,0.0,0.0,1.0,80,20,0,0,0
Connor Macdonald,1,22,22,22.0,0.0,0.0,1.0,100,100,0,0,0
Conor Nash,1,19,19,19.0,0.0,1.0,0.0,100,0,0,0,0
Denver Grainger-Barras,7,9,0,5.4,0.8,0.2,0.8,0,0,0,80,0
Dylan Moore,1,17,17,17.0,3.0,0.0,2.0,100,0,0,100,100
Finn Maginness,1,4,4,4.0,0.0,1.0,0.0,0,0,0,0,0
Harry Morrison,13,21,4,16.4,0.4,0.0,0.4,80,40,0,20,20
Henry Hustwaite,2,15,13,14.0,1.0,0.0,1.5,50,0,0,50,50
Jack Ginnivan,1,17,17,17.0,2.0,0.0,0.0,100,0,0,100,100
Jack Gunston,1,13,13,13.0,1.0,2.0,0.0,0,0,0,100,0
Jack Scrimshaw,1,9,9,9.0,0.0,0.0,0.0,0,0,0,0,0
Jai Newcombe,1,21,21,21.0,0.0,0.0,3.0,100,100,0,0,0
Jai Serong,2,15,6,10.5,0.0,0.0,0.5,50,0,0,0,0
James Blanck,15,7,5,5.6,0.0,0.0,1.0,0,0,0,0,0
James Sicily,1,11,11,11.0,0.0,0.0,2.0,0,0,0,0,0
James Worpel,1,28,28,28.0,1.0,0.0,0.0,100,100,100,100,0
Jarman Impey,1,16,16,16.0,0.0,0.0,0.0,100,0,0,0,0
Josh Ward,1,17,17,17.0,0.0,0.0,0.0,100,0,0,0,0
Josh Weddle,1,20,20,20.0,0.0,1.0,0.0,100,100,0,0,0
Karl Amon,1,18,18,18.0,1.0,0.0,0.0,100,0,0,100,0
Lloyd Meek,16,10,2,7.0,0.0,0.0,0.8,0,0,0,0,0
Luke Breust,1,12,12,12.0,0.0,2.0,0.0,0,0,0,0,0
Mabior Chol,1,9,9,9.0,2.0,2.0,1.0,0,0,0,100,100
Massimo D'Ambrosio,1,29,29,29.0,0.0,0.0,1.0,100,100,100,0,0
Max Ramsden,2,8,6,7.0,0.0,0.5,0.5,0,0,0,0,0
Mitch Lewis,1,10,10,10.0,1.0,2.0,0.0,0,0,0,100,0
Ned Reeves,1,8,8,8.0,0.0,0.0,0.0,0,0,0,0,0
Nick Watson,1,5,5,5.0,0.0,3.0,0.0,0,0,0,0,0
Sam Butler,8,15,7,10.0,0.8,0.0,0.4,20,0,0,60,20
Sam Frost,1,7,7,7.0,0.0,0.0,0.0,0,0,0,0,0
Seamus Mitchell,14,20,5,13.0,0.0,0.0,0.0,60,20,0,0,0
Will Day,21,30,20,25.0,0.8,0.4,0.8,100,100,40,60,20
